Time,Centered Angle,Centered Low Frequency Carrier,Centered Tremor,Centered Envelope,Centered Torque,Normalized WFE Displacement,centeredAngle
0.212885,130,131,0.002042383682278288,0.0024914958296928095,126,128,130
0.213928,130,131,0.002018797314875049,0.002491443097493872,125,128,130
0.214972,130,131,0.0020055106458275627,0.002491370333267158,124,128,130
0.216015,130,131,0.0020015337444999597,0.002491401958236111,123,128,130
0.217059,130,131,0.0020088765004787085,0.002491640754782572,122,128,130
0.218102,130,131,0.0020255486200305437,0.002492152466515851,121,128,130
0.219146,130,131,0.0020525596226321015,0.0024929525835584976,120,128,130
0.22019,130,131,0.002085918837594752,0.002494001863357512,120,128,130
0.221233,130,131,0.00212463540077402,0.0024952020037004785,120,128,130
0.222277,130,131,0.0021637182513729327,0.002496404646642365,120,128,130
0.22332,130,131,0.0022011761288467232,0.002497423356061779,120,128,130
0.224364,130,131,0.002230017569888706,0.0024980462723226426,121,128,130
0.225407,130,131,0.0022452509055237374,0.0024980841217678977,123,128,130
0.226451,130,131,0.0022418842582918276,0.0024973538687664185,125,128,130
0.227494,130,131,0.002216925539518454,0.002495733067095499,127,128,130
0.228538,130,131,0.002163382446688068,0.002493158622270043,130,128,130
0.229581,130,131,0.0020822624609213,0.002489644463059523,133,128,130
0.230625,130,131,0.0019695728445310937,0.002485272279284917,136,128,130
0.231669,130,131,0.0018283206386833601,0.002480171577865264,139,128,130
0.232712,130,131,0.0016605126611645442,0.0024745263307123138,142,128,130
0.233756,130,131,0.0014711555042285893,0.0024685484423734466,144,128,130
0.234799,130,131,0.0012662555325590654,0.0024624585582869608,145,128,130
0.235843,130,131,0.001053818881318982,0.002456437188521396,146,128,130
0.236886,130,131,0.0008408514543031516,0.00245064041117211,145,128,130
0.23793,130,131,0.0006343589221781013,0.0024451735832647812,145,128,130
0.238973,130,131,0.0004413467208294565,0.0024400710400006515,143,128,130
0.240017,130,131,0.00026482004980913834,0.0024353514204429197,141,128,130
0.241061,130,131,0.00010978387086962393,0.0024309877675852114,140,128,130
0.242104,130,131,-0.00002375709338767706,0.0024269373812373556,137,128,130
0.243148,130,131,-0.00013279836078712806,0.0024231726760860026,135,128,130
0.244191,130,131,-0.00021833569072716004,0.0024196814433265317,133,128,130
0.245235,130,131,-0.0002823650852534143,0.0024164905189790137,131,128,130
0.246278,130,131,-0.0003258827900330175,0.002413650668108479,129,128,130
0.247322,130,131,-0.0003508852952131087,0.002411229123392558,127,128,130
0.248365,130,131,-0.00035836933620194555,0.002409328140260327,126,128,130
0.249409,130,131,-0.000352331894342551,0.0024080293956289926,125,128,130
0.250453,130,131,-0.00033177019749611804,0.0024073931282525035,123,128,130
