Time,Raw Angle,Low Frequency Carrier,Tremor,Envelope,Torque,WFE Displacement,centeredTorque
13.546351,8.385756,8.384117063745846,0.001424159650788181,0.001854519005058999,-0.02700138951679351,0.0017,114
13.547394,8.385928,8.38415728132006,0.001519942566336937,0.0018344620727191536,-0.02643681252775261,0.001494,114
13.548438,8.386094,8.38419763108924,0.0016095470924806334,0.001813337259455089,-0.02471638391484037,0.001281,115
13.549481,8.386247,8.3842381120989,0.001685981825789638,0.0017913171844887222,-0.022120597553955835,0.001067,117
13.550525,8.386385,8.38427872338859,0.0017472553912013051,0.0017685932347563686,-0.019030764238421073,0.000855,118
13.551569,8.386505,8.384319463992037,0.0017903764398629455,0.0017454161171839302,-0.015443889903029539,0.000648,120
13.552612,8.386605,8.384360332937298,0.0018133536470183952,0.0017220899578513518,-0.011549631357508023,0.00045,122
13.553656,8.386684,8.384401329246904,0.00181519570989729,0.001698978182822283,-0.007826122974812671,0.000264,124
13.554699,8.386745,8.384442451938005,0.0017989113456292898,0.0016764975805562655,-0.004372186040859383,0.000092,126
13.555743,8.386788,8.384483700022523,0.0017645092891837887,0.0016551023610795529,-0.0010919939792764473,-0.000065,127
13.556786,8.386815,8.384525072507298,0.0017139982913116714,0.0016352894393501705,0.0019166298988460837,-0.000204,129
13.55783,8.386827,8.384566568394236,0.0016483871165192186,0.001617546907419801,0.004365207181175937,-0.000325,130
13.558873,8.386829,8.384608186680454,0.0015726845410643628,0.0016023758374398376,0.006344571714182604,-0.00043,131
13.559917,8.386821,8.38464992635843,0.0014868993509615654,0.0015901797338784347,0.007950548649332522,-0.000517,132
13.560961,8.386807,8.384691786416143,0.0013950403400222525,0.00158133199867828,0.009083316043789294,-0.00059,133
13.562004,8.386788,8.384733765837229,0.0012981163079014136,0.0015760880895686917,0.00983769976742663,-0.00065,133
13.563048,8.386767,8.384775863601122,0.0011991360581804827,0.0015745591209207952,0.01011487536585312,-0.000698,133
13.564091,8.386746,8.384818078683203,0.001100108396460629,0.0015767512387306955,0.010008669676834276,-0.000739,133
13.565135,8.386727,8.38486041005494,0.0010030421284877634,0.0015824932150123071,0.0095170828380413,-0.000774,133
13.566178,8.386712,8.384902856684041,0.0009099460582892834,0.0015915097224893516,0.00854228851131273,-0.000806,132
13.567222,8.386704,8.38494541753459,0.0008238289863450737,0.0016033776961532206,0.007272941740777816,-0.000838,132
13.568265,8.386703,8.384988091567193,0.0007446997077669279,0.0016176094615698595,0.0057090399972725804,-0.000873,131
13.569309,8.386712,8.38503087773912,0.0006755670105113144,0.001633657204392454,0.003751759350884882,-0.000912,130
13.570353,8.386732,8.385073775004448,0.0006174396736123443,0.00165096700333036,0.001400099586683681,-0.000957,129
13.571396,8.386766,8.385116782314212,0.0005733264654208501,0.0016689738637512591,-0.0012531093182399033,-0.00101,127
13.57244,8.386814,8.385159898616537,0.000543236141891452,0.0016872005132889398,-0.004112041993931891,-0.001072,126
13.573483,8.386878,8.385203122856787,0.0005291774448733733,0.0017052659345326694,-0.007274522585355757,-0.001143,124
13.574527,8.386959,8.385246453977695,0.0005321591004247495,0.0017228695656215207,-0.01064572364038164,-0.001222,123
13.57557,8.387058,8.385289890919513,0.0005531898171567831,0.0017398269835992568,-0.014130817587626684,-0.00131,121
13.576614,8.387175,8.385333432620142,0.0005922782845931157,0.0017560690511192962,-0.017633978528861373,-0.001406,119
13.577657,8.38731,8.385377078015276,0.0006494331715589975,0.0017716014647685182,-0.021059380577682366,-0.001507,117
13.578701,8.387462,8.385420826038544,0.0007236631245842038,0.0017865196596607217,-0.024310199619831763,-0.001613,115
13.579744,8.38763,8.385464675621643,0.0008139767663381102,0.0018009533148770347,-0.027385438132901677,-0.00172,114
13.580788,8.387813,8.385508625694476,0.0009193826940695962,0.0018150395378740717,-0.029804965899263396,-0.001828,113
13.581832,8.388005,8.38555267518529,0.0010338894780834384,0.001828926534695992,-0.031466968025671366,-0.001933,112
13.582875,8.388204,8.385596823020812,0.001155505660230653,0.0018427106181501786,-0.03227362256633023,-0.002033,111
13.583919,8.388403,8.38564106812638,0.0012772397524239455,0.0018564689537999399,-0.0320262903820348,-0.002125,112
13.584962,8.388598,8.385685409426085,0.0013951002351673494,0.0018702441883019117,-0.030625153640208756,-0.002208,112
13.586006,8.388781,8.385729845842896,0.0015010955561135166,0.0018840020414690383,-0.0279664023359824,-0.00228,114
13.587049,8.388947,8.385774376298802,0.0015902341286322544,0.0018976840792643286,-0.02423670087453939,-0.002338,116
13.588093,8.38909,8.385818999714939,0.0016565243304082315,0.0019111873479548023,-0.019621715910939964,-0.002381,118
13.589136,8.389207,8.38586371501172,0.0016969745020595786,0.0019243874579830955,-0.014405935215728872,-0.002408,121
13.59018,8.389295,8.38590852110897,0.0017085929457707565,0.0019371360728999143,-0.008778020169033557,-0.002419,123
13.591224,8.389353,8.385953416926055,0.0016903879239502893,0.0019492655836279705,-0.0032161079892132666,-0.002413,126
13.592267,8.389383,8.385998401382011,0.0016443676579007158,0.001960608162510539,0.002181976256772081,-0.002392,129
13.593311,8.389385,8.386043473395668,0.0015705403265093975,0.001971007468071827,0.00703292421293206,-0.002355,132
13.594354,8.389365,8.386088631885784,0.0014749140649587492,0.001980316403731584,0.011043266183007916,-0.002306,134
13.595398,8.389326,8.386133875771167,0.001360496963459821,0.001988420972461589,0.01430583318394345,-0.002245,135
13.596441,8.389273,8.386179203970803,0.001232297065986675,0.0019952453946500835,0.01662398094538866,-0.002175,137
13.597485,8.389211,8.386224615403977,0.001095322369044537,0.0020007474827696582,0.01808854518484686,-0.0021,137
13.598528,8.389144,8.386270108990397,0.000953580820435996,0.0020049340231185577,0.018887186446381522,-0.002022,138
13.599572,8.389075,8.386315683650315,0.000810080318052842,0.002007868618880767,0.018921083811287605,-0.001944,138
13.600616,8.389009,8.386361338304651,0.0006698287086862446,0.00200968030151642,0.018568553194334304,-0.00187,138
